dataset,poison_ratio,method,ASR_mean,ASR_std,F1_mean,F1_std
scifact,0.01,no_defense,1.0,0.0,0.0,0.0
scifact,0.01,viper,0.5,0.0,0.054080396185659345,0.0011938537688872726
scifact,0.05,no_defense,1.0,0.0,0.0,0.0
scifact,0.05,viper,0.5555555555555557,0.039283710065919325,0.30406365444728617,0.02401544597760339
scifact,0.1,no_defense,1.0,0.0,0.0,0.0
scifact,0.1,viper,0.12,0.0,0.5978835978835979,0.018706528602818757
scifact,0.2,no_defense,1.0,0.0,0.0,0.0
scifact,0.2,viper,0.0,0.0,0.8066939453439971,0.013910401344958453
scifact,0.3,no_defense,1.0,0.0,0.0,0.0
scifact,0.3,viper,0.0,0.0,0.872346558075303,0.01481351206053009
